logFC	unshrunk.logFC	logCPM	PValue	FDR	mrna
4.21183985005281	4.21265334230886	10.0572415943761	2.90861025245443e-15	2.64101810922862e-11	SUT517
7.39114196142256	7.40548177542927	9.54670624242932	1.92195935532709e-13	3.31331874926275e-10	YLR154C-H
7.39116509726413	7.4055049125351	9.54674355454847	1.92196249997917e-13	3.31331874926275e-10	YLR159C-A
7.39112218279777	7.40546199594537	9.54659389383778	1.92283070305113e-13	3.31331874926275e-10	YLR157C-C
7.39117768340471	7.40551749935351	9.54676799972266	1.92286341820241e-13	3.31331874926275e-10	YLR156C-A
-2.60501938727354	-2.60577367610531	7.23213349238067	2.18941767572429e-13	3.31331874926275e-10	XUT_15R-116
-2.63029124255643	-2.63122052001621	7.49044649820307	3.1276623469975e-13	4.05702487296247e-10	YCR041W
4.43650272411022	4.44333020722478	5.97945974140721	7.56712087343507e-13	7.65022153095480e-10	YKL209C
2.70215441740084	2.70236914547922	11.4119174452063	7.58281869808295e-13	7.65022153095480e-10	SUT786
3.01413710619013	3.01657503924307	9.0720693274027	1.40788768461475e-12	1.21326963765511e-09	NUT0255
3.71761195093835	3.7180090654252	10.0324526626715	1.46982004561743e-12	1.21326963765511e-09	YER165W
-2.20137477305713	-2.20300712170044	6.22097662766217	2.35130047370435e-12	1.77915069176963e-09	NUT0951
7.36012288991701	7.66261556171128	5.61935773120314	7.19429081991915e-12	5.02493543422045e-09	XUT_15F-18
-8.22268127750536	-8.48048689183616	4.76557477992275	8.31150281221738e-12	5.34193272650705e-09	YPL187W
2.71355709066076	2.71622991950993	6.10214293891258	8.8247787332165e-12	5.34193272650705e-09	CUT3959
-3.24164907994939	-3.24254292850643	7.50405540223421	1.07624049259862e-11	6.10766479549715e-09	YCL030C
7.9387339331159	8.12277617946454	4.99039698902113	1.84773833174484e-11	9.86909650131951e-09	XUT_3F-6
-10.6664404850662	-144269490.12548	4.53648799116495	1.9588355783625e-11	9.88123725085083e-09	YLR303W
-2.82991265269537	-2.83116306953801	6.68915820177356	2.18847086943825e-11	1.04585871023681e-08	NUT0070
2.17912074723806	2.18018811567392	7.85130177051716	2.31799669109906e-11	1.05237049775897e-08	NUT1178
2.67726565889249	2.68036983037259	7.70867344711519	2.80856294910482e-11	1.16353808270381e-08	NUT0805
-3.08916678078363	-3.09251710392414	6.46177308343409	2.8191451343044e-11	1.16353808270381e-08	CUT200
-2.22338902797897	-2.22392483030168	7.30051440855528	4.22101364049416e-11	1.66638277633422e-08	YCR088W
2.58472289701581	2.58586409989925	9.69968283850425	5.40530000730589e-11	2.04500516943073e-08	NUT0275
4.02140706836295	4.03936607372898	4.84206499034647	6.14767098477537e-11	2.23283410167041e-08	YMR013W-A
2.78968395066692	2.79540548423394	5.36809528343135	7.26804953777681e-11	2.53822653088513e-08	CUT485
5.73344612389206	5.7868364553424	4.21292002228504	9.3089123342418e-11	3.13055274055243e-08	XUT_3F-5
2.10049707435915	2.10166458470233	8.62641532720077	1.29738967914522e-10	4.20724938808523e-08	NUT1162
1.98751784959644	1.98965325978766	8.2448331906204	1.58283638794212e-10	4.95591531121189e-08	NUT1036
9.77554468583467	9.98133714030685	6.01546938887948	2.42465148889146e-10	7.33861183971149e-08	YNL145W
1.71375388757414	1.71392613659106	9.53927360991549	4.37893696006265e-10	1.26073194897782e-07	NUT0206
11.7299632825913	144269491.189466	5.30432493696999	4.4431081902302e-10	1.26073194897782e-07	XUT_3F-130
-2.47912973514699	-2.4816576421085	5.4584764457238	5.29316800672383e-10	1.45642319700159e-07	YHR018C
2.56775031097705	2.57115272155308	6.08372043904955	5.73764432043885e-10	1.53228854204661e-07	CUT4397
-2.03657725084558	-2.03677823799839	8.66838959937097	9.76298958520797e-10	2.53279844096252e-07	NUT1219
2.26526233335687	2.2749795049188	7.75892982731881	1.10694691670152e-09	2.79196611212495e-07	NUT1395
4.50723816161264	4.51197474742668	7.72572132120884	1.14228727074713e-09	2.80323470767135e-07	SUT030
-9.04208063456894	-144269488.499282	4.15168350313547	1.20085943108523e-09	2.86942200901418e-07	XUT_5R-11
9.22605898512919	28.7420058591696	4.21715670852686	1.41477848335875e-09	3.29389452023012e-07	SUT508
2.05538494891051	2.05646390995366	7.57229493789198	1.96481187499196e-09	4.46012295623175e-07	NUT0349
-1.68107602876562	-1.68164436207798	6.87739298328716	2.32457997206559e-09	5.14809418203793e-07	YCR036W
-1.52118815386889	-1.52164881472103	6.80729137579689	3.0673483269222e-09	6.63131495439372e-07	YMR062C
-1.68972300655561	-1.69067881594293	6.30173245170994	3.33261654267024e-09	7.03724609475483e-07	YCR096C
4.65776617484751	4.70677445813473	5.11414223966411	3.73707727604017e-09	7.5655908882194e-07	CUT221
3.50853474326534	3.52764901498384	7.21628542207621	3.83826819444598e-09	7.5655908882194e-07	CUT585
-1.27028261290002	-1.27080962662405	6.43228659708036	4.08114337223322e-09	7.5655908882194e-07	YLR155C
-1.27028261290002	-1.27080962662405	6.43228659708036	4.08114337223322e-09	7.5655908882194e-07	YLR160C
-1.27028261289829	-1.27080962662231	6.43228760778567	4.08147831414534e-09	7.5655908882194e-07	YLR158C
-1.27028261287299	-1.27080962659699	6.43230232879589	4.08275279210078e-09	7.5655908882194e-07	YLR157C
-1.38241728801935	-1.38295997308139	6.46888345932664	4.23078440424373e-09	7.68310447810661e-07	SUT033
7.66597004847294	8.04722849584162	3.5368856050637	5.11291211538512e-09	9.10298862896018e-07	CUT461
5.28991919543539	5.36239817860308	4.68273879860493	5.83217325099735e-09	1.01838717536646e-06	NUT1287
-2.98253090419167	-2.98413786987799	6.34569844770423	6.29816907946937e-09	1.07900708002985e-06	YOR375C
10.962063119683	144269490.421269	4.97984757749156	6.62651543014372e-09	1.1142362982538e-06	YBR115C
3.59706042816184	3.60913624588712	5.40767140262079	7.05581322386053e-09	1.124861824888e-06	YDR545W
3.59707296480685	3.60914879092986	5.40774312829078	7.06030674312256e-09	1.124861824888e-06	YLR467W
3.597072920906	3.60914874660801	5.4077665584627	7.06135727077266e-09	1.124861824888e-06	YOR396W
4.1793921752259	4.19481745244185	4.3986268340192	7.5112634735994e-09	1.17590124724625e-06	YIL015W
2.42603047127254	2.4295142211545	5.23696218314121	7.67351819881045e-09	1.18094144483388e-06	SUT755
2.11231730393189	2.11586512600704	6.90497224547001	7.85120362884582e-09	1.188148815832e-06	NUT0693
-1.34220745136191	-1.34229383231656	9.08530213003553	8.40147344377867e-09	1.25057998146738e-06	NUT0417
3.13835164272541	3.14911012262852	5.71295491004428	9.6162171811341e-09	1.4083105162048e-06	CUT677
4.72939360212489	4.75748349645935	3.95736158467752	1.11217084844732e-08	1.60293830220661e-06	YFL026W
1.7707251918888	1.77135632110113	9.09099854559795	1.41758252659845e-08	1.99457394369918e-06	NUT1169
-1.36612440447209	-1.36646164021868	7.19402946819928	1.42783377026924e-08	1.99457394369918e-06	YDR127W
2.93543658791077	2.95241401579179	5.49256917321005	1.57955056248412e-08	2.17307865262966e-06	CUT222
-2.17865153096305	-2.18087729134965	5.4220019207477	1.77951747954634e-08	2.41164458422101e-06	YLR304C
