"","RNA","WT_pBM5vscsl4ph_pBM5","WT_pBM5vsenp1_1_pBM5","WT_pBM5vscsl4ph_pBM766","WT_pBM5vsenp1_1_pBM766","WT_pBM5vsWT_pBM766","RNA_Class"
"50","lcl|BK006946.2_ncrna_4556",0.852036745659171,3.5303010910003,0.996776459618141,2.06700271540467,-0.507270577662606,"[locus_tag=snR76]"
"51","lcl|BK006946.2_ncrna_4557",-0.608894721010142,0.737768580665705,-0.910525962015354,0.555748507446124,0.0215533050443136,"[locus_tag=snR75]"
"52","lcl|BK006946.2_ncrna_4558",-0.352770250393926,1.65774395618416,-0.303426217873645,1.38954658769778,-0.492489972660142,"[locus_tag=snR74]"
"53","lcl|BK006946.2_ncrna_4559",0.922886460186379,4.87095515524067,1.0546290975467,3.65139964325716,-0.216630599020237,"[locus_tag=snR73]"
"54","lcl|BK006946.2_ncrna_4560",2.41740019458061,2.13022046738055,2.04906363371387,1.73336498657963,0.0330458582096041,"[locus_tag=snR72]"
"55","lcl|BK006946.2_ncrna_4673",-1.03086311580668,2.89382206289686,0.0754438644377798,1.71113129629614,-0.7367796582971,"[locus_tag=snR24]"
"56","lcl|BK006946.2_ncrna_4746",4.18700882997481,1.65263275754756,3.1424550793595,1.19447542841636,0.878198559255362,"[locus_tag=snR83]"
"57","lcl|BK006946.2_ncrna_4759",3.19002801145009,2.03478020480702,2.60454433455784,1.3788109881119,0.181504495836639,"[locus_tag=snR11]"
"58","lcl|BK006946.2_ncrna_4817",0.769047262695804,0.819494621359002,0.763099511954712,0.38371564625277,-0.122786754980345,"[locus_tag=snR86]"
"59","lcl|BK006947.3_ncrna_4947",-0.400748616853815,-0.282086947876134,-0.455676667687364,-0.0429046667242675,-0.225373079921918,"[locus_tag=snR40]"
"60","lcl|BK006947.3_ncrna_5015",0.819996047873957,0.198327161743096,0.751125434422018,0.248530947813475,0.109106127613916,"[locus_tag=snR19]"
"61","lcl|BK006947.3_ncrna_5213",1.41692244014083,1.4846040389452,1.04771287337514,1.18899496827675,-0.00465360646052989,"[locus_tag=snR66]"
"62","lcl|BK006947.3_ncrna_5289",0.677673636494289,-0.344391450075882,0.508078860099391,0.128920627906562,-0.104678393813889,"[locus_tag=snR49]"
"63","lcl|BK006947.3_ncrna_5293",1.98331994867307,0.812126396756611,0.677814324448131,0.382459962487241,-1.58955476821241,"[locus_tag=snR191]"
