gene	Class
YDR182W	IX
YCR002C	VIII
YJR076C	VII
YLR215C	VI
YDL220C	IV
YFR028C	IX
YKL022C	VII
YAL038W	X
YGL116W	VIII
YAL041W	VI
YLR310C	VI
YFR036W	VII
YBL084C	VI
YLR314C	VIII
YOR257W	VI
YOL139C	IV
YDR168W	X
YCR093W	VIII
YFL009W	VIII
YDR364C	VIII
YLR103C	VII
YDL126C	X
YMR001C	VI
YDL132W	VI
YGL190C	VI
YJL194W	IX
YPL160W	X
YLR418C	IV
YDL164C	X
YLR245C	VII
YGL003C	IX
YBR029C	IV
YMR213W	IV
YER061C	VII
YMR168C	VII
YPL228W	VI
YOR112W	IX
YIL003W	VI
YLR098C	VI
YGL206C	X
YER164W	X
YBR274W	IV
YPL008W	VI
YGR157W	X
YNL192W	VIII
YBR038W	VIII
YBR023C	VIII
YLR330W	VIII
YJL099W	VIII
YHR142W	VI
YER030W	VI
YHR052W	IX
YMR198W	VI
YOR349W	IV
YOR028C	IV
YEL061C	IX
YGR207C	VII
YOR356W	X
CIS1	II
YJL158C	X
YNR001C	X
YOR039W	VIII
YLR133W	VII
YBR135W	II
YNL298W	VIII
YGR108W	IV
YDL155W	VI
YLR210W	VII
YPR120C	VIII
YGR109C	V
YGR167W	VI
YLR117C	VII
YGL215W	X
YMR199W	VI
YPL256C	VIII
YOR250C	VII
YMR012W	X
YBL059C-A	V
YMR194C-B	II
YOL016C	VIII
YML057W	VIII
YLR003C	V
YKL190W	VI
YDR357C	V
YNL225C	IX
YFR046C	X
YBR155W	VII
YIL157C	VI
YJL062W-A	V
YLR218C	VI
Q0105	IX
YLL050C	X
YGL223C	VI
YGR120C	VII
YER157W	IV
YNL051W	VII
YNL041C	VI
YGL005C	V
YML071C	IV
YDL145C	X
YOL008W	VII
YOL096C	VIII
YDR204W	VIII
YGL119W	VII
YBL045C	X
YNR075W	IV
YBR203W	VIII
YBR302C	VIII
YML132W	IV
YJR161C	VIII
YHL048W	II
YOR316C	IV
Q0045	IX
YPL172C	IX
YLR038C	IX
YGL191W	IX
YML129C	V
YJL003W	IV
YLL009C	V
YLL018C-A	VII
Q0250	IX
YDR231C	VII
YHR116W	VII
Q0275	IX
YNL052W	VIII
YIL111W	V
YLR395C	VIII
YDL067C	V
YKL179C	VI
YOR303W	IX
YJR109C	X
YDR155C	X
YHR057C	IX
YML078W	X
YCR069W	VIII
YDR304C	X
YLR216C	X
YNR028W	VI
YJL172W	IV
YDR223W	II
YGR189C	VIII
YGR218W	X
YLR429W	VIII
YHR146W	IX
YLR213C	VII
YOR031W	IX
YOL063C	IX
YNL027W	VI
YGL238W	X
YKL049C	VIII
YLR087C	IX
YBR036C	VIII
YNL232W	VII
YCR086W	III
YPR030W	VIII
YIL036W	VIII
YLR394W	X
YDR256C	IX
YMR094W	VII
YMR078C	VIII
YPL018W	I
YLR381W	VIII
YDR151C	I
YPL181W	VIII
YKL139W	VI
YJL006C	VII
YMR180C	III
YHR109W	VII
YBR291C	IV
YPR124W	V
YHR175W	VIII
YCR054C	VII
YOL145C	IX
YLR286C	X
YDR371W	IV
YMR264W	IV
YKL090W	VIII
YGL110C	V
YML101C	VII
YOR042W	VIII
YGL166W	VIII
YPL177C	IX
YNL286W	VI
CUT001	III
CUT002	III
CUT004	IV
CUT005	I
CUT007	I
CUT010	I
CUT011	I
CUT012	III
CUT013	I
CUT014	III
CUT015	III
CUT017	II
CUT018	III
CUT019	II
CUT020	I
CUT021	III
CUT022	III
CUT023	I
CUT024	I
CUT025	I
CUT026	I
CUT027	I
CUT028	II
CUT029	I
CUT030	II
CUT034	I
CUT036	I
CUT037	V
CUT038	I
CUT039	II
CUT040	I
CUT041	I
CUT042	I
CUT043	I
CUT044	II
CUT047	I
CUT048	III
CUT049	I
CUT050	III
CUT051	III
CUT053	I
CUT054	III
