logFC	logCPM	F	PValue	FDR	mrna
-3.61311029139189	10.0572415943761	640.324549487803	1.69130050609283e-14	1.53570085953229e-10	SUT517
-4.1387734466986	10.0324526626715	443.655175761267	3.07854218249512e-13	1.39765815085278e-09	YER165W
9.11444041210992	4.15168350313547	199.816585639387	8.64708077277037e-10	2.61718311389183e-06	XUT_5R-11
3.10095765788525	5.92339478101223	151.040908952033	1.18685742235287e-09	2.69416634874101e-06	YEL077C
2.09131503508555	6.07886298228211	145.804992390409	1.53963612360574e-09	2.79597920046802e-06	YHR156C
-8.11009344325337	4.18474090974411	234.16214560776	2.30972324145222e-09	3.49538117206437e-06	NUT0386
7.95481422051511	2.94790665644015	164.64925869523	3.13123589622868e-09	4.06166027682235e-06	CUT103
1.42057749623183	6.31336683199653	112.186060492059	1.034100915585e-08	1.17370453918898e-05	YOL155C
1.14161936262351	7.54596675834808	109.530779051168	1.22731693756012e-08	1.23822642144955e-05	YOR153W
1.38378767789643	9.0720693274027	100.628897751616	2.24109879277523e-08	2.03491770383991e-05	NUT0255
0.973210238526261	6.99770853562771	98.415701995915	2.62179577630097e-08	2.16417324080117e-05	NUT0633
1.46751046557035	9.69968283850425	88.7771239844764	5.39155296389693e-08	4.07960840934867e-05	NUT0275
1.15705129630769	7.80639171593592	85.4988370437962	6.99639087925225e-08	4.71760183915192e-05	NUT0459
11.4253745779049	5.81518288032303	125.034050344511	7.27383543481573e-08	4.71760183915192e-05	YDR039C
7.69988268002977	3.26552129545294	99.7346910452417	7.98217266663398e-08	4.83187518753577e-05	SUT086
1.83801327841913	6.12429851274962	82.9468256462969	8.62080457840514e-08	4.89230659824492e-05	XUT_14R-250
10.656880012591	3.47991136434251	287.157476516818	1.02692553686617e-07	5.48499051455575e-05	SUT440
1.18618810617202	8.62641532720077	80.068125197286	1.09826364484734e-07	5.54012994178549e-05	NUT1162
1.84171475819583	4.62239161692908	91.5525862252565	1.36469435380344e-07	6.52180249080803e-05	NUT0942
1.07318078179903	7.85130177051716	76.6059639354094	1.48415003438693e-07	6.73804115611668e-05	NUT1178
1.70820657273715	5.49256917321006	75.055153605916	1.70476486375994e-07	7.37107855378107e-05	CUT222
1.08029322170954	11.4119174452063	74.381338211331	1.811918674917e-07	7.47828253102109e-05	SUT786
7.8705004391701	4.96171875405038	86.230650663595	1.97931503217186e-07	7.81399151831324e-05	NUT0952
-1.23144005190948	6.21180710676099	71.8457789293379	2.28865872800588e-07	8.65875885428891e-05	YOR286W
1.41648178723049	5.04066414281239	69.5493174591873	2.84476442772649e-07	9.86113372419534e-05	CUT432
